실험자 이름,이미지 이름,이미지 설명,메인 결과,서브결과1,서브 결과 2,해시태그 1,해시태그 2,해시태그 3
정평안,정평안1.png,하늘색배경,색감,질감,의미,#하늘색,#티셔츠확대,#일상속 컬러
,정평안10.png,키보드자판 도장,방법,형태,질감,#반복되는원,#키보드 속 원,#오돌토돌
,정평안11.png,테니스 코트 의자,대상,형태,의미,#테니스코트의자,#노란포인트,#파란 철골 구조
,정평안12.png,위에서 본 녹슨 기둥,대상 ,선명,형태,#점으로보기,#녹슨주황,#위에서보기
,정평안13.png,이어폰 도장,형태,직관,의미,#이어폰,#데칼코마니,#공산품미학
,정평안14.png,나열된 관중석 의자,대상,형태,의미,#파란색의자,#일상속 나열,#텅 빈 자리들
,정평안15.png,대리석 사이 핀 잔디,대상,의미,감각,#위에서 보기,#새로운시선,#잔디의 생명력
,정평안16.png,나무껍질,질감,감각,선명,#나무껍질,#불규칙성,#자연의 흔적
,정평안17.png,풀로 덮힌 나무 기둥,대상,의미,형태,#풀로 덮힌 나무기둥,#기묘한 분위기,#자연의 신비
,정평안18.png,울퉁불퉁 돌밭,질감,감각,선명,#돌의 질감,#울퉁불퉁,#돌의 색감
,정평안19.png,반복되는 문양,선명,방법,감각,#일상 속 발견,#줄서기,#들여다보기
,정평안2.png,흐리게 본 하얀꽃,대상,감각,형태,#풀밭의 하얀망초,#흐리게보기,#점으로보기
,정평안20.png,세잎클로버들,대상,선명,감각,#세잎클로버,#일상 속 발견,#모양의 반복
,정평안21.png,돌담과 철조망,대상,방벙,질감,#불규칙성,#돌과 철조망의 관계,#세월의 흔적
,정평안22.png,이끼로 덮힌 벽,선명,방법,질감,#이끼로 덮힌 모습,#새로운 질감,#시간의 흔적
,정평안23.png,하얀색 선,선명,감각,대상,#알수없음,#질감 ,#하얀선
,정평안24.png,잔상 그림,방법,색감,취향,#잔상,#속도감,#느껴라 온몸으로
,정평안25.png,NO낙서,의미,대상,취향,#NO표지판,#일상 속 타이포,#우연적인만남
,정평안26.png,원의 반복,형태,방법,질감,#일상속디자인,#원의반복,#보도블럭
,정평안27.png,전통문양 대문,방법,형태,선명,#좌우대칭,#전통디자인,#점의 반복
,정평안28.png,볆모양 단추,방법,형태,선명+D31,#점의 반복,#별모양단추,#귀여움
,정평안29.png,전통 문고리,형태,대상,방법,#원과 팔각형,#다르게보기,#비례
,정평안3.png,흐리게 본 노란꽃,대상,감각,색감,#풀밭의 노란꽃,#흐리게보기,#점으로보기
,정평안30.png,검은점과 하얀점의율동,형태,방법,감각,#일상 속 디자인,#흰색포인트,#균형과 불균형
,정평안31.png,한로로 앨범,의미,방법,색감,#포스터,#아카이브,#그래픽디자인
,정평안32.png,한로로앨범,의미,방법,감각,#포스터,#아카이브,#그래픽디자인
,정평안33.png,한로로앨범,의미,방법,감각,#포스터,#아카이브,#그래픽디자인
,정평안34.png,책들의 리듬감,색감,의미,감각,#리듬감,#주황색포인트,#새로운시선
,정평안35.png,노트와 연필,감각,색감,방법,#새로운시선,#파란색포인트,#나의노트
,정평안36.png,녹이 쓴 용접된 파이프접합부,대상,색감,감각,#용접된파이프,#파란포인트,#기묘한모양
,정평안37.png,핑크 원,직관,형태,감각,#점으로보기,#새로운시선,#인조잔디
,정평안38.png,반사된 동그라미 속 셀카,선명,대상,감각,#반사된내모습,#톱니모양,#점으로보기
,정평안39.png,목걸이 펜던트,취향,감각,질감,#나의목걸이,#다르게보기,#불가사리
,정평안4.png,민들레꽃,대상,감각,색감,#민들레꽃,#확대해서보기,#점으로보기
,정평안40.png,별 목걸이,취향,감각,질감,#불가사리,#목걸이,#공예품
,정평안41.png,요즘 키링,의미 ,취향,감각,#문구,#어때서,#키링
,정평안42.png,펜스 장식,대상,의미,형태,#다르게보기,#데칼코마니,#클로즈업
,정평안43.png,지문찍기,질감,의미,감각,#지문,#도장찍기,#곡선의 흐름
,정평안44.png,잔상과 블러,대상,감각,직관,#빛의 잔산,#아른거리는,#나무사이에서의 빛
,정평안45.png,꽃모양 낙서,현태,취향,의미,#꽃모양,#드로잉낙서,#자연
,정평안46.png,호모 드로잉,감각,의미,직관,#드로잉낙서,#호모이미지스,#타이포그래피
,정평안47.png,돌사이 잔디,대상,감각,선명,#다르게보기,#자세히보기,#풀잎들
,정평안48.png,스티커 디자인 모음,직괸,방법,의미,#스티커디자인,#타이포그래피;,#일상속디자인
,정평안49.png,한로로팬클럽,취향,감각,직관,#일상속디자인,#한로로팬,#영감찾기
,정평안5.png,빛 이펙터,감각,색감,형태,#퍼지는 빛이미지,#그래픽디자인,#이펙트
,정평안50.png,자전거키 도장,질감,감각,형태,#자전거열쇠,#열쇠모양,#질감찾기
,정평안6.png,위에서 본 교통봉,대상,선명,형태,#점으로보기,#주황색교통봉,#위에서바라보기
,정평안7.png,빨간배경,색감,감각,의미,#빨간색,#질감과색깔,#일상속의 컬러
,정평안8.png,노한원,대상,형태,선명,#점으로보기,#도로에서,#노란색원
,정평안9.png,하얀원,대상,형태,선명,#점으로보기,#운동장표식,#하얀색원
