실험자 이름,이미지 이름,이미지 설명,메인 결과,서브결과1,서브 결과 2,해시태그 1,해시태그 2,해시태그 3
박가현,박가현1.png,보스 글자 판화,감각,질감,방법,#보스로고,#볼드서체,#모듈시스템
,박가현10.png,이펙터 위 그의 발재간,대상,취향,형태,#이펙터페달,#꾹꾹이,#프로페셔널
,박가현11.png,전진버튼,의미,감각,형태,#의미찾기,#짤생성,#전진하자
,박가현12.png,멈춤버튼,의미,감각,색감,#의미찾기,#짤생성,#멈춰
,박가현13.png,메롱로고,취향,의미,직관,#미스터텅,#그래픽스티커,#겹쳐서 찍기
,박가현14.png,펀치유도 샌드백,의미,취향,직관,#펀치짤,#짤생성,#올해 최고의 짤
,박가현15.png,중화풍 등,대상,형태,색감,#전통조명등,#주황색포인트,#빈티지
,박가현16.png,일렉치는 친구,취향,감각,의미,#과감한구도,#기타리스트,#스포트라이트
,박가현17.png,밴드합주하는 모습,취향,의미,감각,#몰래카메라,#동료들과 함께,#연습실합주
,박가현18.png,드럼치는 친구,취향,감각,직관,#드러머,#짜란다,#손발멀티 가능
,박가현19.png,하트티셔트입은 낭만 기타리스트,취향,감각,직관,#그래픽티셔츠,#가죽밴드와 티조합,#기타리스트의 등판
,박가현2.png,판화 여백에 그림,취향,감각,의미,#강아지,#형태의 발견,#귀엽다
,박가현20.png,사이드미러속 나와 바깥 야경,감각,대상,직관,#드라이브,#플래시,#야간주행
,박가현21.png,녹슨 우편함 과 편지 속 캐릭터,의미,색감,대상,#아날로그,#컬러포인트,#세월의 흔적
,박가현22.png,그시절 한글 간판,의미,색감,취향,#빈티지폰트,#빈티지색감,#그시절감성
,박가현23.png,주류 네온 간판,취향,색감,감각,#네온사인,#대칭,#레드라이트
,박가현24.png,바닥 투기 금지 안내판,취향,감각,질감,#쓰레기금지,#아날로그,#캐릭터
,박가현25.png,번진 불꽃놀이,대상,감각,직관,#불꽃놀이의 추억,#빛의 잔상,#순간포착
,박가현26.png,일본 간식,대상,취향,색감,#일본캐릭터,#인증샷,#맛있음
,박가현27.png,손에 걸린 목걸이,형태,질감,대상,#목걸이,#구슬과 은,#줄줄이
,박가현28.png,드럼 킥,형태,대상,색감,#새로운 시점,#킥페달의 간지,#포인트 색감
,박가현29.png,알록달록 피크,형태,색감,대상,#알록달록 피크,#피크모음,#물질성
,박가현3.png,앰프 스위치,대상,직관,색감,#앰프 스위치,#컬러포인트,#주목성
,박가현30.png,팔지부자의 기타,대상,형태,취향,#기타포징,#빈티지팔찌,#새로운시선
,박가현31.png,비상구 안내판,직관,의미,감각,#비상구 표지판,#새로운시선,#디자인
,박가현32.png,울창한 숲과 빼곡한 교통체증,감각,직관,의미,#차들과 나무,#일상의 순간,#교통체증
,박가현33.png,멋쟁이 기타리스트,대상,감각,직관,#기타연주연출,#밴드브이로그,#기타리스트 
,박가현34.png,물고기와 아이컨택,대상,직관,의미,#물고기와 함께 춤을,#수조앞에서,#넌이제 내횟감
,박가현35.png,대왕 물고기,대상,감각,형태,#대왕 물고기,#아쿠아리움아니고 수조,#아름다움
,박가현36.png,여름밤 불꽃놀이,대상,의미,직관,#일상의 순간,#불꽃놀이 축복,#다리위에서
,박가현37.png,입 벌린 조개,형태,대상,의미,#일벌린조개,#조개구이,#새로운 시선
,박가현38.png,빈티지 펜던트,대상,직관,취향,#빈티지펜던트,#도마뱀무늬,#새로운시선
,박가현39.png,여름밤 동료들과 함께,대상,의미,취향,#동료들과 함께,#카메라맨의 시선,#추억
,박가현4.png,고양이 모양 반지,취향,대상,감각,#고양이 반지,#반짝임,#나를 바라봄
,박가현40.png,두더지 잡기,대상,감각,의미,#두더지잡기게임,#새로운 시선,#추억의 게임
,박가현41.png,위험 펫말,대상,의미,직관,#그래픽 디자인,#일상속디자인,#경고디자인
,박가현42.png,접시속 새우 한마리,대상,의미,직관,#잘익은 새우,#새우 관찰기,#먹음직스러움
,박가현43.png,알록달록 이펙터,대상,방법,선명,#이펙터모음,#컬러배치,#균형감
,박가현44.png,곤충 표본,대상,의미,직관,#나비박제,#아름다움,#새로운 시선
,박가현45.png,브이하는 친구,취향,대상,직관,#나의 친구,#브이,#추억 
,박가현46.png,정체구간 2호선,의미,형태,감각,#줄 서 있는 사람들,#서울지하철풍경,#새로운 시선
,박가현47.png,2차 메뉴,취향,의미,색감,#횟집에서,#해장,#맛있어보임
,박가현48.png,시골집 풍경,의미,감각,색감,#들여다 본 풍경,#시골집,#스토리
,박가현49.png,태고의 달인들,대상,직관,취향,#동료들과 함께,#태고의 달인,#추억 
,박가현5.png,드럼 속 인간,취향,감각,대상,#숨은 그림 찾기,#반전,#유머
,박가현50.png,투일렉의 합주,취향,대상,감각,#연습실 합주,#추억,#밴드브이로그
,박가현6.png,브이하는 자신,취향,감각,의미,#셀피,#브이,#연습실 합주
,박가현7.png,하반신 닭발,감각,대상,취향,#상반신 실종,#닭발,#미스테리
,박가현8.png,문어모양 장난감,대상,취향,의미,#끈끈이문어,#유머,#스토리
,박가현9.png,인형 얼빡샷,취향,대상,감각,#다람쥐 인형,#귀여움,#날 바라봐
